,Aircraft,Flight Phase,Date,Fault Text,Report Maintenance
340,1419,Climb,2008-03-29 02:38:00,FDE_A_System4,RMA_F_System4
341,1419,Climb,2008-03-31 08:53:00,FDE_E_System4,RMA_F_System4
342,1419,Climb,2008-03-31 08:53:00,FDE_A_System4,RMA_F_System4
343,1419,Climb,2008-04-13 09:39:00,FDE_E_System1,RMA_F_System1
344,1419,Climb,2008-04-13 09:39:00,FDE_A_System1,RMA_F_System1
345,1419,Taxi-Out,2008-04-25 21:39:00,FDE_H_System1,RMA_E_System1
346,1419,,2008-05-09 03:54:00,FDE_E_System3,
347,1419,Initial Climb,2008-06-18 03:16:00,FDE_A_System3,RMA_F_System3
348,1419,Initial Climb,2008-06-18 03:16:00,FDE_E_System3,RMA_F_System3
349,1419,Initial Climb,2008-07-04 10:39:00,FDE_E_System4,RMA_F_System4
350,1419,Initial Climb,2008-07-04 10:39:00,FDE_A_System4,RMA_F_System4
351,1419,Initial Climb,2008-07-04 20:56:00,FDE_E_System4,RMA_F_System4
352,1419,Initial Climb,2008-07-04 20:56:00,FDE_A_System4,RMA_F_System4
