Aircraft;Component;System;Date;Reason;Time Hours; Time Cycles
2982;MME_Component_D; ;26/10/2007;3;3239;339
2982;MME_Component_A;System3;19/11/2007;3;22481;2367
2982;MME_Component_B;System2;22/10/2008;3;14687;1554
2982;MME_Component_G;System4;31/12/2008;3;14509;1755
2982;MME_Component_O; ;10/05/2009;4;72772;8056
2982;MME_Component_O; ;10/05/2009;4;69240;7649
2982;MME_Component_E; ;10/05/2009;4;81132;8996
2982;MME_Component_E; ;10/05/2009;4;55212;6051
2982;MME_Component_E; ;10/05/2009;4;45906;4988
2982;MME_Component_E; ;10/05/2009;4;18674;1984
2982;MME_Component_E; ;10/05/2009;4;7033;757
2982;MME_Component_J; ;10/05/2009;4;22517;2392
2982;MME_Component_J; ;10/05/2009;4;7033;757
2982;MME_Component_J; ;10/05/2009;4;25298;2676
2982;MME_Component_J; ;10/05/2009;4;8176;882
2982;MME_Component_D; ;10/05/2009;4;7033;757
2982;MME_Component_D; ;10/05/2009;4;21506;2282
2982;MME_Component_D; ;10/05/2009;4;8176;882
2982;MME_Component_D; ;10/05/2009;4;8595;926
2982;MME_Component_H; ;10/05/2009;4;16027;1704
2982;MME_Component_H; ;10/05/2009;4;21750;2310
2982;MME_Component_H; ;10/05/2009;4;20960;2222
2982;MME_Component_H; ;10/05/2009;4;16412;1745
2982;MME_Component_K;001A;10/05/2009;4;26284;2778
2982;MME_Component_P; ;10/05/2009;4;79799;8846
2982;MME_Component_F;1;10/05/2009;4;20516;2175
2982;MME_Component_F;4;10/05/2009;4;20516;2175
2982;MME_Component_F;2;10/05/2009;4;20516;2175
2982;MME_Component_F;3;10/05/2009;4;20516;2175
2982;MME_Component_L; ;10/05/2009;4;135479;16323
2982;MME_Component_L; ;10/05/2009;4;45610;4954
2982;MME_Component_L; ;10/05/2009;4;45906;4988
2982;MME_Component_L; ;10/05/2009;4;43494;4713
2982;MME_Component_L; ;10/05/2009;4;20515;2174
2982;MME_Component_F;4;10/05/2009;4;20516;2175
2982;MME_Component_F;2;10/05/2009;4;20516;2175
2982;MME_Component_F;3;10/05/2009;4;20516;2175
2982;MME_Component_F;1;10/05/2009;4;20516;2175
2982;MME_Component_N; ;10/05/2009;4;126802;14997
2982;MME_Component_N; ;10/05/2009;4;81079;8990
2982;MME_Component_N; ;10/05/2009;4;58301;6398
2982;MME_Component_N; ;10/05/2009;4;16412;1745
2982;MME_Component_I; ;10/05/2009;4;10122;1080
2982;MME_Component_I; ;10/05/2009;4;11497;1228
2982;MME_Component_I; ;10/05/2009;4;8384;904
2982;MME_Component_M;System2;11/05/2009;4;34088;3670
2982;MME_Component_M;System1;11/05/2009;4;34845;3812
2982;MME_Component_A;System2;11/05/2009;4;13529;1495
2982;MME_Component_A;System1;11/05/2009;4;6535;768
2982;MME_Component_A;System1;11/05/2009;4;100272;11497
2982;MME_Component_A;System2;11/05/2009;4;3652;428
2982;MME_Component_G;System2;11/05/2009;4;17030;1872
2982;MME_Component_G;System1;11/05/2009;4;599;67
2982;MME_Component_B;System2;11/05/2009;4;3652;428
2982;MME_Component_B;System1;11/05/2009;4;1719;193
2982;MME_Component_C; ;11/05/2009;4;45906;4988
131;MME_Component_B;System1;19/03/2006;3;6471;1052
131;MME_Component_A;System2;09/04/2006;3;4426;532
131;MME_Component_H; ;03/05/2006;3;115722;15498
131;MME_Component_H; ;05/05/2006;3;2511;306
131;MME_Component_E; ;21/07/2006;3;116798;15622
131;MME_Component_I; ;16/08/2006;3;42918;5384
131;MME_Component_I; ;08/09/2006;3;361;45
131;MME_Component_J; ;03/10/2006;3;0;0
131;MME_Component_J; ;03/10/2006;3;42323;5303
131;MME_Component_D; ;10/10/2006;3;14405;1733
131;MME_Component_K;001A;10/12/2006;2;37408;4633
131;MME_Component_N; ;11/12/2006;3;80876;10228
131;MME_Component_B;System1;13/03/2007;3;4720;560
131;MME_Component_D; ;28/03/2007;3;8161;978
131;MME_Component_J; ;31/03/2007;3;39026;4834
131;MME_Component_B;System1;07/05/2007;3;686;86
131;MME_Component_B;System3;15/07/2007;3;10655;1278
